1	A K Q J T	SF	Royal Flush
2	K Q J T 9	SF	King-High Straight Flush
3	Q J T 9 8	SF	Queen-High Straight Flush
4	J T 9 8 7	SF	Jack-High Straight Flush
5	T 9 8 7 6	SF	Ten-High Straight Flush
6	9 8 7 6 5	SF	Nine-High Straight Flush
7	8 7 6 5 4	SF	Eight-High Straight Flush
8	7 6 5 4 3	SF	Seven-High Straight Flush
9	6 5 4 3 2	SF	Six-High Straight Flush
10	5 4 3 2 A	SF	Five-High Straight Flush
11	A A A A K	4K	Four Aces
12	A A A A Q	4K	Four Aces
13	A A A A J	4K	Four Aces
14	A A A A T	4K	Four Aces
15	A A A A 9	4K	Four Aces
16	A A A A 8	4K	Four Aces
17	A A A A 7	4K	Four Aces
18	A A A A 6	4K	Four Aces
19	A A A A 5	4K	Four Aces
20	A A A A 4	4K	Four Aces
21	A A A A 3	4K	Four Aces
22	A A A A 2	4K	Four Aces
23	K K K K A	4K	Four Kings
24	K K K K Q	4K	Four Kings
25	K K K K J	4K	Four Kings
26	K K K K T	4K	Four Kings
27	K K K K 9	4K	Four Kings
28	K K K K 8	4K	Four Kings
29	K K K K 7	4K	Four Kings
30	K K K K 6	4K	Four Kings
31	K K K K 5	4K	Four Kings
32	K K K K 4	4K	Four Kings
33	K K K K 3	4K	Four Kings
34	K K K K 2	4K	Four Kings
35	Q Q Q Q A	4K	Four Queens
36	Q Q Q Q K	4K	Four Queens
37	Q Q Q Q J	4K	Four Queens
38	Q Q Q Q T	4K	Four Queens
39	Q Q Q Q 9	4K	Four Queens
40	Q Q Q Q 8	4K	Four Queens
41	Q Q Q Q 7	4K	Four Queens
42	Q Q Q Q 6	4K	Four Queens
43	Q Q Q Q 5	4K	Four Queens
44	Q Q Q Q 4	4K	Four Queens
45	Q Q Q Q 3	4K	Four Queens
46	Q Q Q Q 2	4K	Four Queens
47	J J J J A	4K	Four Jacks
48	J J J J K	4K	Four Jacks
49	J J J J Q	4K	Four Jacks
50	J J J J T	4K	Four Jacks
51	J J J J 9	4K	Four Jacks
52	J J J J 8	4K	Four Jacks
53	J J J J 7	4K	Four Jacks
54	J J J J 6	4K	Four Jacks
55	J J J J 5	4K	Four Jacks
56	J J J J 4	4K	Four Jacks
57	J J J J 3	4K	Four Jacks
58	J J J J 2	4K	Four Jacks
59	T T T T A	4K	Four Tens
60	T T T T K	4K	Four Tens
61	T T T T Q	4K	Four Tens
62	T T T T J	4K	Four Tens
63	T T T T 9	4K	Four Tens
64	T T T T 8	4K	Four Tens
65	T T T T 7	4K	Four Tens
66	T T T T 6	4K	Four Tens
67	T T T T 5	4K	Four Tens
68	T T T T 4	4K	Four Tens
69	T T T T 3	4K	Four Tens
70	T T T T 2	4K	Four Tens
71	9 9 9 9 A	4K	Four Nines
72	9 9 9 9 K	4K	Four Nines
73	9 9 9 9 Q	4K	Four Nines
74	9 9 9 9 J	4K	Four Nines
75	9 9 9 9 T	4K	Four Nines
76	9 9 9 9 8	4K	Four Nines
77	9 9 9 9 7	4K	Four Nines
78	9 9 9 9 6	4K	Four Nines
79	9 9 9 9 5	4K	Four Nines
80	9 9 9 9 4	4K	Four Nines
81	9 9 9 9 3	4K	Four Nines
82	9 9 9 9 2	4K	Four Nines
83	8 8 8 8 A	4K	Four Eights
84	8 8 8 8 K	4K	Four Eights
85	8 8 8 8 Q	4K	Four Eights
86	8 8 8 8 J	4K	Four Eights
87	8 8 8 8 T	4K	Four Eights
88	8 8 8 8 9	4K	Four Eights
89	8 8 8 8 7	4K	Four Eights
90	8 8 8 8 6	4K	Four Eights
91	8 8 8 8 5	4K	Four Eights
92	8 8 8 8 4	4K	Four Eights
93	8 8 8 8 3	4K	Four Eights
94	8 8 8 8 2	4K	Four Eights
95	7 7 7 7 A	4K	Four Sevens
96	7 7 7 7 K	4K	Four Sevens
97	7 7 7 7 Q	4K	Four Sevens
98	7 7 7 7 J	4K	Four Sevens
99	7 7 7 7 T	4K	Four Sevens
100	7 7 7 7 9	4K	Four Sevens
101	7 7 7 7 8	4K	Four Sevens
102	7 7 7 7 6	4K	Four Sevens
103	7 7 7 7 5	4K	Four Sevens
104	7 7 7 7 4	4K	Four Sevens
105	7 7 7 7 3	4K	Four Sevens
106	7 7 7 7 2	4K	Four Sevens
107	6 6 6 6 A	4K	Four Sixes
108	6 6 6 6 K	4K	Four Sixes
109	6 6 6 6 Q	4K	Four Sixes
110	6 6 6 6 J	4K	Four Sixes
111	6 6 6 6 T	4K	Four Sixes
112	6 6 6 6 9	4K	Four Sixes
113	6 6 6 6 8	4K	Four Sixes
114	6 6 6 6 7	4K	Four Sixes
115	6 6 6 6 5	4K	Four Sixes
116	6 6 6 6 4	4K	Four Sixes
117	6 6 6 6 3	4K	Four Sixes
